,,Appearance,Behaviour,Where and when,Description
97520,24,"Lijkt zwart, maar is donkerbruin met witte kin. Vleugels lang, smal, gebogen.",Altijd in de lucht. Groepjes vliegen in ochtend en avond snel langs de broedkolonies en maken daarbij een gierend geluid.,Steden en dorpen. Eind april tot begin augustus.,"<p><span class=""label"">Luchtig leventje </span>Gierzwaluwen hebben zulke korte pootjes met rare kromme tenen, dat ze er niet mee kunnen lopen. Hun poten zijn wel heel sterk: ze kunnen er heel goed mee aan een muur hangen of mee vechten. Gierzwaluwen komen eigenlijk nooit op de grond, maar ze bouwen wel een nest. Hoe komen ze dan aan hun nestmateriaal? Dat vangen ze in de lucht: veertjes, kleine wollen draadjes en heel kleine zwevende strootjes. Het nest bouwen ze onder een dakpan. Om vanuit het nest weg te kunnen vliegen, moeten ze zich een stukje laten vallen, omdat ze zich met hun kleine pootjes niet kunnen afzetten. Waarschijnlijk komen gierzwaluwen zelfs ’s winters niet aan de grond: ze slapen dan in de lucht!</p>"
97521,24,"Iets groter dan een huismus, dikke kop, roze snavel. Mannetje geelgroen, vleugels en staart met veel geel. Vrouwtje iets bruiner.","Zomerhalfjaar in paartjes, winterhalfjaar in groepen. Dol op zonnepitten.",Broedt in bomen of struiken. ’s Winters vaak op vetbollen of bij zaadstrooisel. Hele jaar.,"<p><span class=""label"">Groene notenkraker </span>Groenlingen zijn echte zaadeters en dat zie je goed aan hun dikke snavels: die zijn heel geschikt om als notenkraker te dienen. In de lente vangen ze ook wel insecten, maar eigenlijk alleen om aan hun jongen te voeren. Het liefst eten ze zaadjes van rozenbottels. Ze pulken een rozenbottel open en vissen de ronde zaadjes eruit. Die kraken ze heel handig met hun snavel en het schilletje laten ze vallen. In de herfst zie je grote groepen gezellig samen smikkelen. Als je in de buurt komt, vliegen ze tegelijk op en laten ze hun trillende roep horen. Ben je te laat, dan kun je nog zien dat er groenlingen geweest zijn aan de lege oranje bottelhulsjes.</p>"
97522,24,"Grasgroen, lange puntstaart. Snavel krom, rood, iris geel. Mannetjes hebben roze met blauwe halsband. Vrouwtjes met vage of zonder halsband.","Knabbelt aan zaden, knoppen en blaadjes. Luidruchtig in groepen. Slaapt ’s winters in grote groepen.","Vooral in Amsterdam, Rotterdam en Den Haag. Hele jaar.","<p><span class=""label"">Kleurige exoot </span>Van nature komen in Europa geen parkieten voor. De voorouders van onze halsbandparkieten kwamen uit Azië. Veel parkieten zijn mooi gekleurd en mensen houden ze daarom graag in kooien. Ook halsbandparkieten zijn hier te koop en enkele liefhebbers hebben ze losgelaten, omdat het veel leuker is om vogels buiten te zien rondvliegen. Mensen denken vaak dat parkieten alleen in de tropen voorkomen, maar dat is niet zo: ook in Azië kan het koud zijn. Onze halsbandparkieten kunnen dus heel goed tegen de gure Hollandse winters, zolang er maar voedsel is. Daarom vliegen er nu vooral in grote steden vele duizenden parkieten rond: in de steden worden ze ’s winters gevoerd.</p>"
97523,24,"Slanker dan huismus. Grijze kop en dunne, meestal donkere snavel.","Loopt met korte rukjes over de grond, ‘trekt’ vaak met vleugels. Nooit in grote groepen. Mannetjes zingen luid vanuit de top van een struik.","In tuinen en parken, altijd dicht bij begroeiing. Hele jaar.","<p><span class=""label"">Voorjaarsbode </span>Heggenmussen zijn meestal de eerste vogels die in het voorjaar van zich laten horen. Al vanaf eind februari tot ver in de lente zingen de mannetjes hun heldere liedje. De vogeltjes vallen dan erg op, omdat ze in de top van een struik zitten te zingen. De rest van het jaar leven ze meer geheimzinnig in heggen, struiken en op de grond. Omdat er zo vroeg in het jaar nog maar weinig andere vogels zingen, heb je nu de kans om het liedje van de heggenmus te leren. Later in de lente zingen er veel meer vogels, en dan valt het simpele liedje van de heggenmus niet meer op.</p>"
97524,24,"Blauwgrijs, met roze borst en witte vlek in nek. In vlucht zijn een witte vleugelvlek en donkere staartband goed zichtbaar. Snavel oranjegeel, iris wit.",Zoekt voedsel op de grond. Zit stil in een boom.,"In parken en grote tuinen, altijd bij bomen. Hele jaar.","<p><span class=""label"">Lange zit </span>Houtduiven zoeken voedsel op de grond, vaak op grasvelden of in akkers langs een bosrand. Ze eten zaden en bloemetjes van gras, maar bessen lusten ze ook. In de nazomer en herfst zie je dikke houtduiven vaak op dunne takjes balanceren om ook de bessen aan het uiteinde van de tak te pakken te krijgen. Eikels vinden ze ook lekker. Die zijn wel groot en keihard, maar heel glad en daarom glijden ze makkelijk naar binnen. Als de duiven veel eikels hebben gegeten, gaan ze die verteren. Omdat eikels erg hard zijn duurt dat een hele tijd. Houtduiven zitten dan ook vaak uren stil in een boom.</p>"
97525,24,"Bruine rug met zwarte strepen, grijs petje, kastanjebruine oogstreep, zwarte keel en borst, zwarte snavel, grijswitte wangen. Vrouwtje met beige oogstreep.",Bijna altijd in luidruchtig tsjilpende groepen. Hipt op de grond of zit in dakgoot.,Vooral in tuinen met wat onkruid. Hele jaar.,"<p><span class=""label"">Opgeruimd is niet zo netjes </span>Niet zo lang geleden was de huismus de meest voorkomende vogel in Nederland. Huismussen zaten overal en sommige mensen vonden ze zelfs lastig. Bovendien bouwen huismussen een heel groot, slordig nest van strootjes, dat uit een muurspleet of van onder dakpannen uitpuilt. Ook daar waren veel mensen niet blij mee. Omdat huizen beter geïsoleerd worden, verdwijnen ook de geschikte plaatsen voor huismusnesten. Ook onkruid, waar huismussen graag de zaden van eten, groeit niet veel meer in tuinen. Het is dan ook al lang niet meer de algemeenste vogelsoort in ons land. Gelukkig zijn in dorpen, bij boerderijen, en bij restaurants waar veel eten wordt gemorst veel huismussen te zien, die gezellig samen de kruimels opeten.</p>"
97526,24,"Zwarte vleugels, staart, pet, snavel en poten. Grijze kop en onderzijde. Iris wit.","Altijd in paren of groepen, die op grasvelden naar voedsel zoeken of rond gebouwen vliegen.",Broedt in boomholtes of schoorstenen. Zit op het dak. Hele jaar.,"<p><span class=""label"">Kauwen die bouwen </span>Kauwen houden enorm van bouwen, al merken we er vaak niks van. Als ze een geschikte schoorsteen hebben gevonden, gaan mannetje en vrouwtje samen takjes zoeken. Die laten ze op goed geluk in de schoorsteen vallen. Op een gegeven moment blijft er wel eentje dwars liggen, en de rest valt daar dan bovenop. Zo ontstaat een dik pakket van takken, waarop het vrouwtje haar eieren legt. Vroeger hadden veel mensen een gaskachel of open haard. Als de schoorsteen verstopt was door een kauwennest, trok de kachel soms niet goed. Bovendien kon door vonken die in het rookkanaal omhoog waaiden het nest in brand vliegen, uiteindelijk zelfs het hele huis! Dankzij de centrale verwarming komt dit steeds minder voor.</p>"
97527,24,"Rug en vleugels grijszwart, witte vlekken op vleugelpunten, rest van het lichaam wit. Snavel geel met oranje vlek, poten geel.","Vliegt boven huizen, zit op daken of zwemt. Broedt soms op platte daken.","Stadswateren, maar vooral aan de kust. Maart tot november.","<p><span class=""label"">Hoe ouder hoe mooier </span> Een volwassen kleine mantelmeeuw is schitterend om te zien: de bijna zwarte vleugels en rug steken mooi af tegen het sneeuwwitte verenkleed. De snavel en de poten zijn helder geel en op de snavelpunt zit een oranje vlek. Van heel dichtbij zie je dat rond het oog zelfs een mooi, heel dun oranje ringetje zit. De jongen zijn veel minder fraai gekleurd: donkerbruin of zwartig, in hun eerste jaar met allemaal groezelige vlekjes op de buik. Zoals elke vogel ruit ook de kleine mantelmeeuw elk jaar zijn veren. De jongen worden elk jaar een stukje witter. Het duurt echter wel vijf jaar voordat ze net zo mooi zijn als hun ouders.</p>"
97528,24,"Wit, poten grijs of zwart, snavel oranje met zwart, voorhoofd met grote zwarte knobbel. Lange gebogen nek.",Zwemt statig rond. Graast op grasvelden of eet waterplanten. In vlucht maken de vleugels een zoevend geluid.,"Parkvijvers, weilanden. In nazomer in grote groepen. Hele jaar.","<p><span class=""label"">Zwaar als een vliegtuig </span>Knobbelzwanen zijn enorm groot, en eigenlijk ook een beetje lomp: op het land lopen ze waggelend rond. Vliegen kunnen ze echter als de beste. Omdat ze zo groot zijn, zijn ze ook heel sterk. Dat moet ook wel, want opstijgen met zo’n zwaar lichaam kost veel kracht. Ze hebben een lange aanloop nodig en rennen vleugelflappend over het water. Eenmaal in de lucht zien ze er sierlijk uit, ook al zijn ze niet erg wendbaar. Het landen is een mooi gezicht: ze zweven laag boven het water en trekken met vooruitgestoken poten een lang wit schuimspoor. Eenmaal geland schudden ze even met hun staart, alsof ze blij zijn dat het allemaal zo goed is afgelopen.</p>"
97529,24,"Vleugels en rug grijs. Voorvleugel wit, poten en snavel rood of oranje. Zwart lijntje aan vleugelpunt. Kopkap bruin of zwart, maar ’s winters wit met grijs ‘koptelefoontje’.","Vliegt boven huizen, zit op daken of zwemt. Broedt in moerassen.","Bij water, in parken. Hele jaar.","<p><span class=""label"">Zomerjas, winterjas </span>Van maart tot juni zijn kokmeeuwen makkelijk herkenbaar aan hun donkere kopkap. Die lijkt op afstand zwart, maar van dichtbij zie je dat ‘ie donkergrijs is. In maart en april dan, want nog iets later in de lente zijn de veren al een beetje versleten en wordt de kopkap chocoladebruin. Vanaf juni gaan de meeuwen hun veren al ruien naar het winterkleed. Bij een kokmeeuw kan je dat heel goed zien, want zijn winterkleedveren zijn wit. Het begint rond de snavel en breidt zich snel over de kop uit. Als hij klaar is, is zijn kop bijna wit. Als jij dus nog aan je zomervakantie moet beginnen, heeft een kokmeeuw al bijna zijn winterjas aan!</p>"
97530,24,"Zwarte kop met witte wangen, onderzijde geel met zwarte lengtestreep. Rug groen, vleugels blauw met wit streepje.","Scharrelt in struik of boom, hangt vaak aan pindasnoeren.","Parken en tuinen, ook in bos. Hele jaar.","<p><span class=""label"">Te veel jongen </span>Koolmezen broeden in holtes, bijvoorbeeld in nestkasten. Als er een geschikte nestkast in de tuin wordt gehangen kan het haast niet anders dan dat er koolmezen in komen broeden. De ouders bouwen samen het nest van mos en andere zachte dingen. Het vrouwtje legt vijf eieren, soms nog wel meer. Als de jongen uitkomen is het een drukte van belang, want ze groeien heel snel: al na twee weken vliegen ze uit. Ze worden nog een tijdje door de ouders gevoerd. Hierna beginnen die aan een tweede nest. Soms brengen de ouders zelfs nog een derde nest jongen groot. Gelukkig overleven niet al die jongen de winter, anders zou Nederland overbevolkt raken met koolmezen.</p>"
97531,24,"Bol lichaam, vrijwel zonder staart. Zwart, schild op voorhoofd wit, snavel wit met roze tint.","Zwemt, duikt, loopt op het grasveld, staat op de oever. In lente en zomer in paren of families, ’s winters in groepen.","In parken, sloten en meren. Hele jaar.","<p><span class=""label"">Gelobde tenen </span>Op het eerste gezicht lijkt een meerkoet een soort eend, maar dat is hij niet. Hij is het neefje van de waterhoen. Dat zie je goed aan de enorme poten, bijvoorbeeld als hij op het gras loopt. Bij eenden zitten alle tenen aan elkaar vast met een zwemvlies, maar bij meerkoet en waterhoen zijn de tenen los van elkaar. Een meerkoet heeft wel een apart, afgerond vlies aan elke teen. Zulke vliezen worden lobben genoemd. De meerkoet kan daarmee goed zwemmen, maar dankzij de losse tenen ook door takken of riet klauteren. Dat zal een eend echt niet lukken. Een waterhoen heeft helemaal geen lobben aan zijn tenen en kan nog beter klimmen.</p>"
97532,24,"Mannetje zwart met oranjegele snavel en oogring. Vrouwtje bruin, onderzijde gespikkeld, snavel vuilgeel of bruinig.","Hipt op het grasveld of onder struiken. Zit in een struik, boom of op de dakrand.",In tuinen en parken. Hele jaar.,"<p><span class=""label"">Slijmerig maaltje</span> Merels eten bijna alles, bijvoorbeeld brood, aardappel, bessen, appels, vogelzaad. Hun lievelingsvoedsel bestaat uit regenwormen en slakken. Regenwormen vangen ze door heel goed te luisteren of ze er een onder het gras horen kruipen. Dat zie je, want een merel hipt een stukje en luistert dan aandachtig, met zijn kop schuin gehouden. Hoort hij een worm, dan graaft hij die uit door in de grond te pikken. Merels zoeken slakken, meestal huisjesslakken, door heel goed tussen de planten te kijken. Hebben ze er een gevonden, dan trekken of schudden ze de bewoner uit zijn huisje en eten hem op. Meestal vegen ze daarna het slakkenslijm van hun snavel.</p>"
97533,24,"Kleurrijk: bruin of grijs, met roze snavel en poten en roestbruine, zwarte en witte vleugelveren. Donkere vlek rond oog.","Graast in weiland, zit op paal of zwemt. ’s Zomers in paren of families, ’s winters in groepen.",In parken of weilanden. Hele jaar.,"<p><span class=""label"">Woeste holbewoner </span>De nijlgans is nog niet zo lang in Nederland, pas enkele tientallen jaren. Van nature komt hij voor in Afrika. Watervogelliefhebbers houden allerlei ganzen en eenden en soms ontsnappen er een paar, die dan hier gaan broeden. Inmiddels zijn er tienduizenden nijlganzen in ons land. In steden komen ze niet zo veel, maar wel in weilanden en langs rivieren. Anders dan bijna alle andere eenden broeden nijlganzen het liefst in holen. Dat kunnen holle bomen zijn, maar ook nestkasten voor torenvalken, zolders van schuren of een oude emmer. Sommige nijlganzen broeden zelfs op ooievaarsnesten. Ze beschermen hun jongen fanatiek en pikken soms zelfs andere eenden of meerkoeten dood.</p>"
97534,24,"Witte kop met blauwe pet, donkerblauwe kraag en oogstreep, groene rug, blauwe vleugels met wit streepje, gele onderzijde.","Scharrelt in struik of boom, hangt vaak aan pindasnoeren. Zet vaak zijn kuifje op.","Parken en tuinen, ook in bos. Hele jaar.","<p><span class=""label"">Acrobaat eet pinda’s </span>Pimpelmezen broeden net als koolmezen in holen. Ze zitten ook graag in nestkasten, maar de opening moet wel klein zijn anders pikt de koolmees de kast in. 's Winters zijn er veel pimpelmezen rond het huis, zeker als er pindasnoeren of zaden in een voedersilo worden opgehangen. Pimpelmezen zijn echte evenwichtskunstenaars. Ze hebben sterke poten en hangen op hun kop onder de snoeren. Zo ondersteboven kunnen ze nog steeds met volle kracht een pinda openhakken! Als het gaatje in de schil groot genoeg is, halen ze de pinda eruit en vliegen ermee naar een takje om hem op te eten.</p>"
97535,24,"Boven beige, onder wit. Gezicht rood, eromheen wit-zwart. Vleugels en staart zwart. Brede gele vleugelstreep.",Leeft in groepen. Zit bovenop uitgebloeide distels of andere hoge bloemen. Ook op de grond. Dansende vlucht.,Op braakliggende terrein of ander gebied met veel hoog onkruid. Hele jaar.,"<p><span class=""label"">Puttende putter </span>Ook al is het veel leuker om vogels buiten te bekijken, mensen hebben het altijd leuk gevonden om kleurige vogels in kooitjes te houden. Sommige zingen mooi en dat is prettig om naar te luisteren. Omdat een vogel in een kooitje eigenlijk saai is, bedacht men dat het leuk was om hem een kunstje te leren. Zo werden er vroeger kooitjes gemaakt met water in een emmer aan een touwtje, zoals in een waterput. Als de vogel dorst had, moest hij de emmer met zijn snavel en pootjes ophalen om bij het water te komen. Kanaries waren hier helemaal niet goed in, maar putters waren echte meesters in het putten. Zo is de putter aan zijn Nederlandse naam gekomen.</p>"
97536,24,"Als huismus, maar iets kleiner, met bruine pet en zwart vlekje op witte wangen. Mannetje en vrouwtje hetzelfde.",Leeft in paartjes of groepen en is schuwer dan huismus.,Bij boerderijen en langs steden en dorpen. Ook in rijk begroeide tuinen of parken. Hele jaar.,"<p><span class=""label"">Hutje mutje </span>Ringmussen broeden in holen, net als huismussen. Ze houden, net als huismussen, erg van bouwen. Ze maken grote, bolvormige nesten van strootjes en takjes. Het liefst broeden ze in een holle boom en een nestkast is ook prima, als het invlieggat maar groot genoeg is. Het kan een ringmus niet schelen of er al een koolmees in zit, hij bouwt gewoon zijn nest bovenop dat van de mees. Als de koolmees heel vast zit te broeden en niet tussendoor uitvliegt, kan het gebeuren dat de ringmus de hele nestkast volbouwt. De koolmees kan er niet meer uit …. en blijft dood op het nest zitten!</p>"
97537,24,Bovenkant bruin. Oranje gezicht en borst en witte buik.,"Hipt op de grond, meestal onder struiken. Zingt vanuit struik of lage boom.","In parken en tuinen met struiken. Hele jaar, maar ’s winters zijn er meer dan ’s zomers.","<p><span class=""label"">Driftig baasje </span>Namen zijn vaak niet toepasselijk. Zo is de borst van een roodborst heel opvallend van kleur, maar zeker niet rood! Mannetjes en vrouwtjes zien er hetzelfde uit. Gek genoeg worden ze agressief als ze een oranje plukje veren zien: in hun ogen een andere roodborst. Ze stuiven erop af en hakken erop los. Elke roodborst heeft ’s winters zijn eigen territorium, dat hij of zij fel bewaakt. Andere roodborsten mogen er niet in. Vallen mannetjes en vrouwtjes elkaar dus aan? Nee hoor, in het voorjaar worden ze minder agressief. Bovendien gedraagt een mannetje zich anders dan een vrouwtje en zo herkennen ze elkaar. In de lente voeden ze samen hun jongen op tot nieuwe oranjeborstjes.</p>"
97538,24,"Zwart-wit, met lange rode of oranje snavel en roze poten.","Loopt op het gras, zoekend naar wormen of zit op grinddaken. Aan de kust algemeen.",Grasvelden en platte grinddaken. ’s Winters aan de kust. Hele jaar.,"<p><span class=""label"">Pincet, beitel, hamer, schaar </span>Het meest bijzonder aan een scholekster is zijn lange snavel. Een scholekster eet regenwormen of schelpdieren. Wormen moet hij uit de grond peuren; hij gebruikt zijn snavel dan als pincet. Schelpdieren, zoals kokkels, nonnetjes of mosselen, vindt hij op het wad. Als een schelpdier wordt verstoord, sluit hij zijn schelpen heel stijf op elkaar, zo stijf dat een mens hem niet open krijgt! Een scholekster is echter een meester in het openen van schelpen: met een stevige stoot weet hij in een keer de sluitspier kapot te maken. De schelp is nu open en handig knipt de scholekster het vlees eruit.</p>"
97539,24,"Glanzend zwart, meestal met witte spikkels. Snavel geel, ’s winters donker. Poten bruinrood.","Stapt eigenwijs in het grasveld of op de stoep, zingt op de schoorsteen of in een boom.",Steden en dorpen. Buiten broedtijd in enorme zwermen in weilanden. Hele jaar.,"<p><span class=""label"">Moeder weet de weg </span>Alle spreeuwen uit Nederland trokken vroeger naar Engeland of Noord-Frankrijk. Vanuit Nederland gezien is dat naar het zuidwesten. Bij een experiment verplaatste men in de herfst zowel oude als jonge spreeuwen naar Zwitserland, waar Nederlandse spreeuwen normaal nooit zouden komen. De volwassen spreeuwen vlogen vanuit Zwitserland naar Engeland, want dat wisten ze nog van vorig jaar. De jongen, die aan hun eerste herfsttrek begonnen, wisten dat natuurlijk niet. Dankzij hun instinct vlogen zij naar het zuidwesten. Die jongen kwamen toen in Spanje terecht! Een jaar later vlogen dezelfde spreeuwen, nu een jaar oud, opnieuw naar Spanje. De trekrichting is dus aangeboren, maar de vogels leren ook van hun ervaringen.</p>"
97540,24,"Wit, met roze en zwart. Klein, bolvormig, met zeer lange, zwarte staart.","Altijd in paren of groepen. Zoekt hele boom af op insecten, hangt aan twijgen. Maakt voortdurend geluid.","Parken en tuinen met grote bomen. Hele jaar, ’s winters in groepen.","<p><span class=""label"">Blij met spinnen </span>Staartmezen eten, net als andere mezen, allerlei insecten en spinnetjes. Die zoeken ze door takjes en twijgjes goed af te speuren op dieren die er zich schuilhouden. Staartmezen zijn ook om een andere reden blij met spinnen. In het voorjaar bouwen staartmezen een nest dat vrij in een boomvork wordt vastgemaakt. Ze broeden dus niet in een holletje, zoals andere mezen. Het nest is bol of ovaal, helemaal dicht, met een klein gaatje aan de zijkant. Het wordt gebouwd van plukjes mos die aan elkaar worden geplakt met …. spinnenwebben. Als het af is, plakken de staartmezen er nog stukjes boomschors en korstmos op, zodat het nest helemaal niet meer opvalt.</p>"
